doh,holiday,type
2015-12-31,"Day Before New Year's Day","newyears"
2016-01-01,"New Year's Day","newyears"
2016-01-02,"Day After New Year's Day","newyears"
2016-02-13,"Day Before Valentine's Day","valentines"
2016-02-14,"Valentine's Day","valentines"
2016-02-15,"Day After Valentine's Day","valentines"
2016-03-16,"Day Before St. Patrick's Day","stpatricks"
2016-03-17,"St. Patrick's Day","stpatricks"
2016-03-18,"Day After St. Patrick's Day","stpatricks"
2016-07-03,"Day Before Independence Day","July4th"
2016-07-04,"Independence Day","July4th"
2016-07-05,"Day After Independence Day","July4th"
2016-11-07,"Day Before Election Day","election"
2016-11-08,"Election Day","election"
2016-11-09,"Day After Election Day","election"
2016-11-23,"Day before Thanksgiving Day","thanksgiving"
2016-11-24,"Thanksgiving Day","thanksgiving"
2016-11-25,"Black Friday","thanksgiving"
2016-11-26,"Day After Black Friday","thanksgiving"
2016-12-24,"Christmas Eve","christmas"
2016-12-25,"Christmas Day","christmas"
2016-12-26,"Day after Christmas Day","christmas"
2016-12-30,"New Year's Eve","newyears"
2016-12-31,"New Year's Eve","newyears"